UID,URL,Zone,Latitude,Longitude
b1,https://www.99acres.com/shop-for-rent-lease-in-bhavani-peth-pune-300-sq-ft-spid-I72746669,"in Bhavani Peth, Pune",18.50385117,73.87274139
b2,https://www.99acres.com/shop-for-rent-lease-in-gera-plaza-boat-club-road-pune-703-sq-ft-r1-spid-N66426584,"in Boat Club Road, Pune",18.5390193,73.87664448
b3,https://www.99acres.com/shop-for-rent-lease-in-boat-club-road-pune-1000-sq-ft-r2-spid-P31451405,"in Boat Club Road, Pune",18.53992298,73.87509068
b4,https://www.99acres.com/shop-for-rent-lease-in-bund-garden-pune-500-sq-ft-r1-spid-K69599194,"in Bund Garden, Pune",18.54009428,73.8824952
b5,https://www.99acres.com/shop-for-rent-lease-in-pt-gera-centre-bund-garden-pune-1200-sq-ft-r1-spid-G72110610,"in Bund Garden, Pune",18.53444815,73.87898092
b6,https://www.99acres.com/shop-for-rent-lease-in-kumar-connaught-place-bund-garden-pune-400-sq-ft-spid-C73269121,"in Bund Garden, Pune",18.53509657,73.88037974
b7,https://www.99acres.com/shop-for-rent-lease-in-bund-garden-pune-350-sq-ft-spid-C73297853,"in Bund Garden, Pune",18.53739167,73.88224051
b8,https://www.99acres.com/shop-for-rent-lease-in-clover-center-camp-pune-300-sq-ft-r1-spid-Y72561778,"in Camp, Pune",18.51825403,73.87817149
b9,https://www.99acres.com/shop-for-rent-lease-in-camp-pune-775-sq-ft-r2-spid-Y35170067,"in Camp, Pune",18.50688194,73.87481059
b10,https://www.99acres.com/shop-for-rent-lease-in-camp-pune-825-sq-ft-spid-J72456168,"in Camp, Pune",18.51353121,73.88668688
b11,https://www.99acres.com/shop-for-rent-lease-in-hermes-shopping-center-camp-pune-160-sq-ft-r1-spid-B70888470,"in Camp, Pune",18.51218271,73.87670145
b12,https://www.99acres.com/shop-for-rent-lease-in-camp-pune-220-sq-ft-r4-spid-N34814403,"in Camp, Pune",18.50756128,73.87864409
