UID,URL,NAME,Latitude,Longitude
a1,https://www.google.com/maps/place/Abasaheb+Garware+College/data=!4m7!3m6!1s0x3bc2bf8e7c1c683b:0xf8528dc3a5c23412!8m2!3d18.5116964!4d73.8391238!16s%2Fm%2F0cr422y!19sChIJO2gcfI6_wjsREjTCpcONUvg?authuser=0&hl=en&rclk=1,Abasaheb Garware College,18.5116964,73.8391238
a2,https://www.google.com/maps/place/AISSMS+College+of+Engineering/data=!4m7!3m6!1s0x3bc2c0f555bf965d:0x4dbf1000c873a42d!8m2!3d18.5311701!4d73.8656595!16zL20vMDZ5Y2Yz!19sChIJXZa_VfXAwjsRLaRzyAAQv00?authuser=0&hl=en&rclk=1,AISSMS College of Engineering,18.5311701,73.8656595
a3,https://www.google.com/maps/place/AISSMS+College+of+Hotel+Management+and+Catering+Technology/data=!4m7!3m6!1s0x3bc2c062d0e72eeb:0x8d4934ed66db0100!8m2!3d18.527158!4d73.8541811!16s%2Fg%2F1tg9ll3c!19sChIJ6y7n0GLAwjsRAAHbZu00SY0?authuser=0&hl=en&rclk=1,AISSMS College of Hotel Management and Catering Technology,18.527158,73.8541811
a4,https://www.google.com/maps/place/AISSMS+Polytechnic/data=!4m7!3m6!1s0x3bc2c0f54e1aeb85:0xcea4124354957293!8m2!3d18.5314816!4d73.8663492!16s%2Fm%2F0t_crj9!19sChIJhesaTvXAwjsRk3KVVEMSpM4?authuser=0&hl=en&rclk=1,AISSMS Polytechnic,18.5314816,73.8663492
a5,https://www.google.com/maps/place/Ajeenkya+DY+Patil+University/data=!4m7!3m6!1s0x3bc2c71e08905091:0x51ca0d931361c1bc!8m2!3d18.6228667!4d73.9111481!16s%2Fg%2F11c488fp2b!19sChIJkVCQCB7HwjsRvMFhE5MNylE?authuser=0&hl=en&rclk=1,Ajeenkya DY Patil University,18.6228667,73.9111481
a6,https://www.google.com/maps/place/Anusaya+Sadba+Lonkar+Garden/data=!4m7!3m6!1s0x3bc2ea70bd7ffbaf:0x2efbea6ab0865293!8m2!3d18.480369!4d73.9017671!16s%2Fg%2F11c613d6y8!19sChIJr_t_vXDqwjsRk1KGsGrq-y4?authuser=0&hl=en&rclk=1,Anusaya Sadba Lonkar Garden,18.480369,73.9017671
a7,https://www.google.com/maps/place/Azam+Campus/data=!4m7!3m6!1s0x3bc2c040a0e98563:0x9dd3ef6ef8904dbd!8m2!3d18.5059184!4d73.8764073!16s%2Fg%2F1tdl4lcj!19sChIJY4XpoEDAwjsRvU2Q-G7v050?authuser=0&hl=en&rclk=1,Azam Campus,18.5059184,73.8764073
a8,https://www.google.com/maps/place/Bagul+Udyan/data=!4m7!3m6!1s0x3bc2c004f9e8e741:0xb3692b875147d7d8!8m2!3d18.4910317!4d73.850896!16s%2Fg%2F1th6c8tz!19sChIJQefo-QTAwjsR2NdHUYcrabM?authuser=0&hl=en&rclk=1,Bagul Udyan,18.4910317,73.850896
a9,https://www.google.com/maps/place/Bajirao+Garden/data=!4m7!3m6!1s0x3bc2bff9fca0f143:0x7b7bad3bdeb312fe!8m2!3d18.4927315!4d73.8368333!16s%2Fg%2F11bxf09d2t!19sChIJQ_Gg_Pm_wjsR_hKz3jute3s?authuser=0&hl=en&rclk=1,Bajirao Garden,18.4927315,73.8368333
a10,https://www.google.com/maps/place/Bharati+Vidyapeeth+Deemed+University/data=!4m7!3m6!1s0x3bc2eac7353cf903:0x98f9e9ff19dc42bb!8m2!3d18.5122484!4d73.8433307!16s%2Fm%2F0cr41v1!19sChIJA_k8NcfqwjsRu0LcGf_p-Zg?authuser=0&hl=en&rclk=1,Bharati Vidyapeeth Deemed University,18.5122484,73.8433307
a11,https://www.google.com/maps/place/Bharati+Vidyapeeth+Institute+Of+Management+and+Entrepreneurship+Development/data=!4m7!3m6!1s0x3bc2bf97977ba36f:0x17a8e19b76cb2043!8m2!3d18.5139366!4d73.8205561!16s%2Fg%2F11dfjbvgq4!19sChIJb6N7l5e_wjsRQyDLdpvhqBc?authuser=0&hl=en&rclk=1,Bharati Vidyapeeth Institute Of Management and Entrepreneurship Development,18.5139366,73.8205561
