UID,URL,NAME,RATING,TYPE,Latitude,Longitude
1,https://www.google.com/maps/place/Ganga+Jamuna+Bakery+And+General+Stores/data=!4m7!3m6!1s0x3bc2c0368de8cff5:0x95169ea5414e31dd!8m2!3d18.5055385!4d73.881941!16s%2Fg%2F1pp2tw0_1!19sChIJ9c_ojTbAwjsR3TFOQaWeFpU?authuser=0&hl=en&rclk=1,Ganga Jamuna Bakery And General Stores,3.8,Bakery and Cake Shop,18.5055385,73.881941
2,https://www.google.com/maps/place/Camp+Pune/data=!4m7!3m6!1s0x3bc2c11cc23215ad:0xbec6b460affb1e3a!8m2!3d18.5149663!4d73.8778799!16s%2Fg%2F11g0gp4kg_!19sChIJrRUywhzBwjsROh77r2C0xr4?authuser=0&hl=en&rclk=1,Camp Pune,4.4,Bakery and Cake Shop,18.5149663,73.8778799
3,https://www.google.com/maps/place/Shegaon+Kachori/data=!4m7!3m6!1s0x3bc2c14e64c80a5d:0xc54906317551e7cc!8m2!3d18.5083013!4d73.8793729!16s%2Fg%2F11ll8f49nf!19sChIJXQrIZE7BwjsRzOdRdTEGScU?authuser=0&hl=en&rclk=1,Shegaon Kachori,3.7,Bakery and Cake Shop,18.5083013,73.8793729
4,https://www.google.com/maps/place/Gold+Bakery+And+Confectionery/data=!4m7!3m6!1s0x3bc2c0368c928c35:0xe29fb97f1f4fce0c!8m2!3d18.5056814!4d73.8817832!16s%2Fg%2F1pp2tzfl5!19sChIJNYySjDbAwjsRDM5PH3-5n-I?authuser=0&hl=en&rclk=1,Gold Bakery And Confectionery,4,Bakery and Cake Shop,18.5056814,73.8817832
5,https://www.google.com/maps/place/Shree+Sadguru+Krupa+Snacks+Centre/data=!4m7!3m6!1s0x3bc2c159bbc6765d:0x58255547df3c7b89!8m2!3d18.5179049!4d73.8644813!16s%2Fg%2F11rgmswzyy!19sChIJXXbGu1nBwjsRiXs830dVJVg?authuser=0&hl=en&rclk=1,Shree Sadguru Krupa Snacks Centre,5,Bakery and Cake Shop,18.5179049,73.8644813
6,https://www.google.com/maps/place/Fresh+Bake/data=!4m7!3m6!1s0x3bc2c037b3c9ee8f:0x22d854deaa612993!8m2!3d18.5067464!4d73.8797515!16s%2Fg%2F11h42p_4zr!19sChIJj-7JszfAwjsRkylhqt5U2CI?authuser=0&hl=en&rclk=1,Fresh Bake,3,Bakery and Cake Shop,18.5067464,73.8797515
7,https://www.google.com/maps/place/Kayani+Bakery/data=!4m7!3m6!1s0x3bc2c04f2a978d45:0x386bee1e06d701ac!8m2!3d18.5148173!4d73.8799378!16s%2Fg%2F1tltktq9!19sChIJRY2XKk_AwjsRrAHXBh7uazg?authuser=0&hl=en&rclk=1,Kayani Bakery,4.4,Bakery and Cake Shop,18.5148173,73.8799378
8,https://www.google.com/maps/place/City+Bakery/data=!4m7!3m6!1s0x3bc2c04fcefb17cd:0x1a12aad5979196bc!8m2!3d18.5116289!4d73.8789619!16s%2Fg%2F1tkc53w9!19sChIJzRf7zk_AwjsRvJaRl9WqEho?authuser=0&hl=en&rclk=1,City Bakery,4.4,Bakery and Cake Shop,18.5116289,73.8789619
9,https://www.google.com/maps/place/Aksa+Bakery/data=!4m7!3m6!1s0x3bc2c10896099c1f:0x411d7d6dc0652c84!8m2!3d18.5119622!4d73.8764748!16s%2Fg%2F11h2fglzny!19sChIJH5wJlgjBwjsRhCxlwG19HUE?authuser=0&hl=en&rclk=1,Aksa Bakery,4.3,Bakery and Cake Shop,18.5119622,73.8764748
10,https://www.google.com/maps/place/Neha%27s+Yummy+Cake+%26+Cafe/data=!4m7!3m6!1s0x3bc2c06521c3d9bb:0xc2fa3423b75ddd1f!8m2!3d18.5201784!4d73.8543411!16s%2Fg%2F11g8whvxvw!19sChIJu9nDIWXAwjsRH91dtyM0-sI?authuser=0&hl=en&rclk=1,Neha's Yummy Cake & Cafe,4.1,Bakery and Cake Shop,18.5201784,73.8543411
11,https://www.google.com/maps/place/Navchetanya+Bakery+%26+Snacks+Centre/data=!4m7!3m6!1s0x3bc2c00aaed8b0a1:0x8913c60e7d8e23e5!8m2!3d18.5050249!4d73.8424882!16s%2Fg%2F12nqgnf13!19sChIJobDYrgrAwjsR5SOOfQ7GE4k?authuser=0&hl=en&rclk=1,Navchetanya Bakery & Snacks Centre,0,Bakery and Cake Shop,18.5050249,73.8424882
12,https://www.google.com/maps/place/KIRAN+BAKERY/data=!4m7!3m6!1s0x3bc2c1e91feee837:0xd7edc28c1c8c74d8!8m2!3d18.5078379!4d73.8632844!16s%2Fg%2F11swwt2pwv!19sChIJN-juH-nBwjsR2HSMHIzC7dc?authuser=0&hl=en&rclk=1,KIRAN BAKERY,0,Bakery and Cake Shop,18.5078379,73.8632844
